Injection_Time,Filling_Time,Plasticizing_Time,Cycle_Time,Clamp_Close_Time,Cushion_Position,Plasticizing_Position,Clamp_Open_Position,Max_Injection_Speed,Max_Screw_RPM,Average_Screw_RPM,Max_Injection_Pressure,Max_Switch_Over_Pressure,Max_Back_Pressure,Average_Back_Pressure,Barrel_Temperature_1,Barrel_Temperature_2,Barrel_Temperature_3,Barrel_Temperature_4,Barrel_Temperature_5,Barrel_Temperature_6,Hopper_Temperature,Mold_Temperature_3,Mold_Temperature_4,PassOrFail
9.579999923706056,4.46999979019165,16.889999389648438,59.52000045776367,7.130000114440918,653.4099731445312,68.83999633789062,647.989990234375,55.400001525878906,30.600000381469727,292.5,141.8000030517578,136.60000610351562,37.59999847412109,59.400001525878906,276.1000061035156,275.20001220703125,275.1000061035156,271.3999938964844,255.1999969482422,230.1999969482422,67.80000305175781,25.0,27.5,1
9.609999656677246,4.489999771118164,16.860000610351562,59.58000183105469,7.119999885559082,653.4500122070312,68.58999633789062,647.989990234375,55.400001525878906,30.600000381469727,292.5,142.1999969482422,136.6999969482422,37.79999923706055,59.5,276.6000061035156,275.8999938964844,275.20001220703125,269.29998779296875,255.1999969482422,229.8000030517578,66.69999694824219,22.600000381469727,23.899999618530277,0
9.520000457763672,4.400000095367432,17.100000381469727,59.47999954223633,7.119999885559082,653.4099731445312,68.4800033569336,647.989990234375,56.400001525878906,31.0,292.6000061035156,141.5,135.6999969482422,38.09999847412109,59.400001525878906,276.5,274.8999938964844,275.1000061035156,271.1000061035156,254.8999938964844,230.1999969482422,68.80000305175781,23.700000762939453,24.799999237060547,0
9.56999969482422,4.449999809265137,16.93000030517578,59.52000045776367,7.119999885559082,653.4099731445312,68.83999633789062,647.989990234375,55.70000076293945,30.700000762939453,292.5,141.6999969482422,136.3000030517578,37.0,59.0,276.1000061035156,275.6000061035156,275.5,270.1000061035156,255.1999969482422,229.6999969482422,67.0,25.0,27.600000381469727,0
9.640000343322754,4.53000020980835,16.75,59.58000183105469,7.119999885559082,653.4500122070312,68.61000061035156,647.989990234375,54.79999923706055,30.899999618530277,292.3999938964844,142.1999969482422,137.1999969482422,38.59999847412109,60.0,276.29998779296875,275.0,275.29998779296875,271.1000061035156,254.8000030517578,229.6000061035156,65.5,20.299999237060547,21.700000762939453,0
9.630000114440918,4.519999980926514,16.799999237060547,59.560001373291016,7.119999885559082,653.4500122070312,68.58000183105469,647.989990234375,54.900001525878906,30.5,292.29998779296875,142.1999969482422,137.1999969482422,38.0,59.70000076293945,277.5,275.5,274.8999938964844,269.6000061035156,254.3000030517578,229.8999938964844,65.19999694824219,21.100000381469727,22.200000762939453,0
9.619999885559082,4.5,16.860000610351562,59.560001373291016,7.119999885559082,653.4500122070312,68.58999633789062,647.989990234375,55.29999923706055,30.700000762939453,292.5,142.10000610351562,137.10000610351562,38.09999847412109,59.59999847412109,277.3999938964844,275.1000061035156,274.8999938964844,270.0,254.3999938964844,229.8999938964844,66.5999984741211,22.600000381469727,23.899999618530277,0
9.579999923706056,4.46999979019165,16.889999389648438,59.52000045776367,7.119999885559082,653.4400024414062,68.58000183105469,647.989990234375,55.59999847412109,30.799999237060547,292.5,142.0,136.60000610351562,37.59999847412109,59.400001525878906,276.6000061035156,275.6000061035156,275.6000061035156,269.70001220703125,255.0,230.1999969482422,67.69999694824219,23.299999237060547,24.399999618530277,0
9.56999969482422,4.460000038146973,16.90999984741211,59.52000045776367,7.130000114440918,653.4099731445312,68.83999633789062,647.989990234375,55.59999847412109,30.799999237060547,292.3999938964844,141.8000030517578,136.60000610351562,37.0,59.09999847412109,276.1000061035156,275.0,275.20001220703125,269.79998779296875,255.1999969482422,230.3999938964844,67.5999984741211,25.100000381469727,27.700000762939453,0
9.640000343322754,4.53000020980835,16.770000457763672,59.58000183105469,7.119999885559082,653.4400024414062,68.58999633789062,647.989990234375,55.0,30.700000762939453,292.3999938964844,142.1999969482422,137.1999969482422,38.400001525878906,59.900001525878906,275.8999938964844,274.8999938964844,274.5,270.0,254.8999938964844,230.1000061035156,64.69999694824219,20.299999237060547,21.600000381469727,0
9.619999885559082,4.5,16.84000015258789,59.58000183105469,7.119999885559082,653.4500122070312,68.58000183105469,647.989990234375,55.20000076293945,30.799999237060547,292.3999938964844,142.10000610351562,136.8000030517578,37.900001525878906,59.59999847412109,276.1000061035156,274.79998779296875,275.0,269.5,255.3000030517578,230.0,66.19999694824219,21.899999618530277,23.200000762939453,0
9.59000015258789,4.46999979019165,16.93000030517578,59.52000045776367,7.130000114440918,653.4099731445312,68.83999633789062,647.989990234375,55.5,30.899999618530277,292.5,141.8000030517578,136.5,37.29999923706055,59.20000076293945,277.20001220703125,275.20001220703125,275.0,270.1000061035156,255.1999969482422,229.8999938964844,67.30000305175781,25.100000381469727,27.700000762939453,0
9.59000015258789,4.46999979019165,16.8799991607666,59.560001373291016,7.119999885559082,653.4400024414062,68.58000183105469,647.989990234375,55.5,30.600000381469727,292.5,141.89999389648438,136.60000610351562,37.79999923706055,59.5,276.0,275.3999938964844,274.8999938964844,271.20001220703125,255.1000061035156,230.1000061035156,66.9000015258789,23.299999237060547,24.5,0
10.829999923706056,5.71999979019165,16.81999969482422,62.36000061035156,7.179999828338623,653.3900146484375,68.58000183105469,647.989990234375,45.400001525878906,31.100000381469727,292.3999938964844,144.89999389648438,142.6999969482422,71.9000015258789,87.0999984741211,276.0,274.79998779296875,275.70001220703125,268.8999938964844,255.1999969482422,229.8000030517578,63.79999923706055,20.600000381469727,21.799999237060547,1
